"submitter","MSE","theoreticalPoints"
"2469",9.01208049434701,5
"Yang",11.0074007268083,4.0936460468811
"WEIDONG",11.1541075791638,4.0398034671917
"Sulwhasoo",18.2014818521683,2.47564472155146
"Calvin",20.878771223339,2.15819226092027
"1229",21.5811470224789,2.08795215679686
"ChingManHazel",22.9838481004891,1.96052472478602
"YI",23.0290413609947,1.95667729999633
"Lu",28.4441910860813,1.58416888479506
"Raj",28.491337629673,1.58154745338477
"4716",32.6724886812265,1.37915427598347
"323",37.0001311269435,1.21784439944652
"330",37.2281352501039,1.21038569804834
"ttt",39.5809189276659,1.13843750202169
"Mamoru",39.8615299469372,1.13042330617311
"2004",41.622307539634,1.08260221826546
"Jingyi",43.1920679879388,1.04325642579369
"Weijun",44.3151225192601,1.01681773422044
"0513.txt",44.3151226341656,1.01681773158391
"pancake",46.0682597562142,0.978122523190314
"250",46.0870851567033,0.977722985051509
"Guoxin",46.4683137350066,0.969701692398386
"12081117",46.4683137350066,0.969701692398386
"199208",48.5229234780034,0.928641541809863
"doudou",53.6834193170344,0.83937280905348
"11235424242",53.6834193170344,0.83937280905348
"42",53.6834193170344,0.83937280905348
"asdjkl",53.6834193170344,0.83937280905348
"2614",53.6834193170344,0.83937280905348
"Lei",53.6834193170344,0.83937280905348
"882015",68.4361594575439,0.658429736982676
"110.txt",79.7681044736945,0.564892481387656
"Benjamin",5445.56044531225,0.00827470430716178
"990",5449.04734731043,0.00826940923792417
"12415",5451.12650875123,0.00826625513082391
